	Total	Orig column
Smallest_ring_size	0.0002988045939042637	116
pH_8_msacc.1	0.00029826897955523415	279
pH_9_msdon	0.0002942259117092349	195
pH_2_msdon	0.00029240495259133417	188
a_yy_.1	0.00028696834318774934	123
Largest_ring_size	0.00028344845039618194	29
pH_8_msacc	0.0002820975917322426	179
Wiener_polarity	0.0002740016368911722	147
Maximal_projection_area.2	0.000272313077423511	238
Ring_count_of_atom	0.0002705462074474435	45
pH_8_msdon	0.0002698474468080941	194
pH_6_msacc.1	0.00026883512766515935	277
Aromatic_bond_count.1	0.00026834605943266125	53
Chain_bond_count.2	0.00026704338488763366	115
a_xx_	0.00026617061485131465	120
pH_12_msdon	0.00026194846237462776	198
Ring_atom_count.1	0.00026053924850915705	61
Hetero_ring_count.1	0.0002560725331007618	58
Aliphatic_atom_count.1	0.0002545203346311957	49
Largest_ring_size.1	0.0002531804469377798	65
Minimal_projection_area.1	0.00025140447694229186	140
Chain_atom_count.1	0.00025064224664786416	63
Wiener_index.1	0.00025051366931172394	246
pH_3_msdon.1	0.0002501193936834569	289
Wiener_index	0.0002500696728675833	146
Aliphatic_ring_count.4	0.00024736595713006275	209
Chain_atom_count	0.00023774500673156404	17
pH_14_msdon	0.00022839485361554127	200
Aliphatic_atom_count.3	0.00022183703780419276	104
Randic_index	0.0002208856002208254	39
Aliphatic_atom_count.2	0.00021878003308875023	67
Heteroaliphatic_ring_count.3	0.00021687248840172643	111
Bond_count	0.00021652237581324096	14
Markush_library_size	0.0002108844161133139	150
pH_6_msdon.1	0.00020451018353449994	292
Heteroaliphatic_ring_count.2	0.0001992776743235325	77
acceptorcount.1	0.00019040866604337514	269
Atom_count.1	0.00018554099673599055	66
molecular	0.00018246053403988405	119
Szeged_index	0.0001748463734635715	40
Chain_bond_count.1	0.00017349509959876813	82
Largest_ring_size.2	0.00017294158618610356	83
Hetero_ring_count.2	0.00016899882990343326	76
Aromatic_atom_count.2	0.00016279623439626492	68
ASA.1	0.00016278229203216274	224
Ring_bond_count.2	0.00016243189799529945	80
Mass.1	0.0001586818098149864	118
a_yy_	0.00015108989339067776	121
Dreiding_energy.2	0.00014933528332258187	234
ASA_P	0.00014884041608672835	128
Ring_atom_count.2	0.00014592471636400777	79
Van_der_Waals_surface_area__3D_.1	0.00014409629339617213	242
pH_9_msdon.1	0.0001439318236860036	295
Chain_bond_count	0.00013419042926351367	64
pH_14_msacc.1	0.00012852781077064184	285
Chain_atom_count.3	0.0001254261744272231	114
Chain_atom_count.2	0.00012375275927673906	81
Aliphatic_bond_count	0.00012222662884431973	8
Stereoisomer_count	0.00011929911922928032	148
Aromatic_atom_count.3	0.00011855437682142728	203
Fragment_count	0.00011736736607793658	135
Aliphatic_bond_count.3	0.00011472632151007278	106
pH_7_msdon	0.00011449812006691596	193
Ring_atom_count	0.00011278525645811599	42
pH_3_msdon	0.00010916058854062366	189
a_xx_.1	0.0001078452606296881	220
donorcount.1	0.0001016354147681016	270
Van_der_Waals_surface_area__3D_	9.812192020592836e-05	142
Ring_count	9.755865214740918e-05	44
Aliphatic_ring_count.3	9.194699770377501e-05	109
Ring_count.1	8.648268879965642e-05	55
Polar_surface_area.1	8.53098129047573e-05	229
Bond_count.1	7.981283953848069e-05	51
Ring_count.3	6.206131656933859e-05	108
Rotatable_bond_count.2	6.142501408575971e-05	72
Largest_ring_system_size	5.6896525446162545e-05	30
Asymmetric_atom_count.2	5.307488674367249e-05	230
Largest_ring_size.4	5.1960019820745675e-05	217
Aliphatic_atom_count.4	4.8257599985571285e-05	202
Minimal_projection_area.2	4.792626103575436e-05	240
Largest_ring_size.3	4.613692955010802e-05	117
pH_0_msdon.1	4.5453985513618215e-05	286
pH_10_msacc.1	4.3729154628213954e-05	281
pH_0_logd.1	4.3057561877252216e-05	251
pH_11_msdon	4.181647085994124e-05	197
Randic_index.2	4.1608001934374826e-05	244
Rotatable_bond_count	4.097414604274316e-05	47
Platt_index.1	3.855530249435838e-05	143
pH_2_msdon.1	3.5419603643295926e-05	288
pH_7_msacc.1	3.4761308633041034e-05	278
ASA+.1	3.4404888418903485e-05	225
Rotatable_bond_count.4	3.433467085532278e-05	207
pH_5_msdon.1	3.290346173562549e-05	291
pH_3_logd.1	3.068330490870866e-05	254
molecular.1	2.933070544923719e-05	219
a_yy_.2	2.9246908155431137e-05	221
Aromatic_bond_count.3	2.3113975458776264e-05	206
ASA_H	2.2662563975368804e-05	127
pH_13_msacc.1	2.096588687028524e-05	284
Smallest_ring_size.1	2.0500764349964002e-05	216
pH_11_msacc.1	1.9762769846499647e-05	282
Harary_index.1	1.6586222142681637e-05	236
pH_10_logd.1	1.6258717735072794e-05	261
pH_3_msacc.1	1.611611037642896e-05	274
Ring_atom_count.3	1.4270834075818241e-05	112
pH_5_logd.1	1.4243978488507815e-05	256
Fragment_count.1	1.1005633098582697e-05	235
Atom_count.3	1.0999378979700953e-05	201
Bond_count.5	1.0824692108438553e-05	204
pH_14_logd.1	1.0684267174268559e-05	265
Platt_index.2	1.0500553839684705e-05	243
pH_0_msacc.1	9.687269065565064e-06	271
pH_5_msacc.1	8.31876486445688e-06	276
ASA-.1	7.755261635459467e-06	226
pH_4_msacc.1	6.925739491275947e-06	275
pH_11_msdon.1	6.204771060959459e-06	297
Ring_count.4	4.029835776012078e-06	208
Stereoisomer_count.1	3.2712904003762654e-06	248
Bond_count.6	3.0640119276502773e-06	231
Ring_bond_count.3	2.4945165017050436e-06	113
Wiener_polarity.1	2.493917099032765e-06	247
Harary_index	2.3713864690152604e-06	136
Szeged_index.2	2.205591283463089e-06	245
pH_13_logd.1	1.8079092507597928e-06	264
Markush_library_size.1	1.6150257140201106e-06	250
pH_2_msacc.1	9.077556392805371e-07	273
Mass.2	5.42560766945555e-07	218
pH_12_msdon.1	4.1788447923543744e-07	298
a_zz_.1	2.7681361219584675e-07	222
Ring_atom_count.4	2.3239937401247033e-07	212
Chiral_center_count.2	1.4452251864184012e-07	232
pH_7_logd.1	1.4177988854785512e-07	258
logP.1	7.477440010139069e-08	266
a_yy_.3	5.791494562955898e-08	223
pH_9_logd.1	1.1580060204222445e-08	260
pH_7_msdon.1	0.0	293
pH_13_msdon.1	0.0	299
Hyper_wiener_index.2	0.0	237
pH_12_logd.1	0.0	263
pH_11_logd.1	0.0	262
pH_8_logd.1	0.0	259
pH_6_logd.1	0.0	257
pH_2_logd.1	0.0	253
pH_1_logd.1	0.0	252
Minimal_projection_radius.2	0.0	241
Maximal_projection_radius.2	0.0	239
Chain_bond_count.3	0.0	215
Aliphatic_bond_count.4	0.0	205
Heteroaliphatic_ring_count.4	0.0	211
