Time_Days	Prod_method	Encaps_rate	Hyper_wiener_index	Mean_part_size	pI	PVA_conc_inner_phase	PVA_Mw	PLGA_Mw	S_no	PLGA_visc	PLGA_to_Placticizer	pH_0_logd	Carboaromatic_ring_count	pH_14_logd	pH_4_logd	Ring_atom_count.2	Wiener_index	diss_add_conc	pH_9_logd	Dreiding_energy	Minimal_projection_radius.1	Inner_phase_volume	Q_perc
0.0	2	94.86	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	0.0
0.025	2	94.86	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	46.667
0.252	2	94.86	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	69.63
1.008	2	94.86	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	84.074
2.0	2	94.86	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	89.259
3.008	2	94.86	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	92.22200000000001
5.023	2	94.86	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	93.23100000000001
6.011	2	94.86	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	94.154
7.029	2	94.86	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	95.07700000000001
8.016	2	94.86	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	95.538
10.021	2	94.86	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	95.538
11.039000000000001	2	94.86	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	96.462
12.027000000000001	2	94.86	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	98.76899999999999
13.015	2	94.86	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	99.69200000000001
14.032	2	94.86	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	99.69200000000001
18.958	2	94.86	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	100.0
23.958000000000002	2	94.86	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	100.0
26.979	2	94.86	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	100.0
0.995	1	55.68	-70193260	43.0	11.35	1.0	50000	34000	10	0.4	100.0	1.3	12	1.24	1.3	105	31756354	0.0	1.3	8261.69	143.22	1.0	16.38
8.086	1	55.68	-70193260	43.0	11.35	1.0	50000	34000	10	0.4	100.0	1.3	12	1.24	1.3	105	31756354	0.0	1.3	8261.69	143.22	1.0	17.569000000000003
14.995	1	55.68	-70193260	43.0	11.35	1.0	50000	34000	10	0.4	100.0	1.3	12	1.24	1.3	105	31756354	0.0	1.3	8261.69	143.22	1.0	19.211
21.995	1	55.68	-70193260	43.0	11.35	1.0	50000	34000	10	0.4	100.0	1.3	12	1.24	1.3	105	31756354	0.0	1.3	8261.69	143.22	1.0	20.403
29.005	1	55.68	-70193260	43.0	11.35	1.0	50000	34000	10	0.4	100.0	1.3	12	1.24	1.3	105	31756354	0.0	1.3	8261.69	143.22	1.0	24.065
0.0	4	78.0	-429981997	120.49	5.3	0.0	31000	50000	39	0.72	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	3.5	0.0
0.883	4	78.0	-429981997	120.49	5.3	0.0	31000	50000	39	0.72	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	3.5	41.56399999999999
7.382000000000001	4	78.0	-429981997	120.49	5.3	0.0	31000	50000	39	0.72	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	3.5	60.082
14.092	4	78.0	-429981997	120.49	5.3	0.0	31000	50000	39	0.72	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	3.5	60.082
28.018	4	78.0	-429981997	120.49	5.3	0.0	31000	50000	39	0.72	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	3.5	56.379
46.096000000000004	4	78.0	-429981997	120.49	5.3	0.0	31000	50000	39	0.72	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	3.5	61.728
