Time_Days	Prod_method	Encaps_rate	Hyper_wiener_index	Mean_part_size	pI	PVA_conc_inner_phase	PVA_Mw	PLGA_Mw	S_no	PLGA_visc	PLGA_to_Placticizer	pH_0_logd	Carboaromatic_ring_count	pH_14_logd	pH_4_logd	Ring_atom_count.2	Wiener_index	diss_add_conc	pH_9_logd	Dreiding_energy	Minimal_projection_radius.1	Inner_phase_volume	Q_perc
0.945	1	91.53	-429981997	18.0	5.3	1.0	50000	10000	39	0.16	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	6.099
7.94	1	91.53	-429981997	18.0	5.3	1.0	50000	10000	39	0.16	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	10.974
14.934000000000001	1	91.53	-429981997	18.0	5.3	1.0	50000	10000	39	0.16	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	15.624
22.009	1	91.53	-429981997	18.0	5.3	1.0	50000	10000	39	0.16	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	18.007
29.02	1	91.53	-429981997	18.0	5.3	1.0	50000	10000	39	0.16	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	26.279
0.9648152245999999	3	100.0	-429981997	31.0	5.3	0.0	0	34000	39	0.4	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	5.0	62.998999999999995
3.9324023713	3	100.0	-429981997	31.0	5.3	0.0	0	34000	39	0.4	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	5.0	70.491
6.9577573053999995	3	100.0	-429981997	31.0	5.3	0.0	0	34000	39	0.4	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	5.0	71.566
8.99640116	3	100.0	-429981997	31.0	5.3	0.0	0	34000	39	0.4	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	5.0	74.169
12.023386636500002	3	100.0	-429981997	31.0	5.3	0.0	0	34000	39	0.4	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	5.0	77.885
