Time_Days	Prod_method	Encaps_rate	PLGA_conc	Hyper_wiener_index	Mean_part_size	diss_add_conc	Q_perc
0.0	4	83.0	12.14	-429981997	83.53	0.0	0.0
1.088	4	83.0	12.14	-429981997	83.53	0.0	21.074
7.066	4	83.0	12.14	-429981997	83.53	0.0	37.603
14.031	4	83.0	12.14	-429981997	83.53	0.0	36.777
28.234	4	83.0	12.14	-429981997	83.53	0.0	40.083
46.028	4	83.0	12.14	-429981997	83.53	0.0	35.537
54.292	4	83.0	12.14	-429981997	83.53	0.0	37.603
63.132	4	83.0	12.14	-429981997	83.53	0.0	63.223
84.323	4	83.0	12.14	-429981997	83.53	0.0	74.793
0.868	1	70.8	10.0	1012936979	0.42	0.0	18.394
3.818	1	70.8	10.0	1012936979	0.42	0.0	18.394
6.941	1	70.8	10.0	1012936979	0.42	0.0	22.073
11.8	1	70.8	10.0	1012936979	0.42	0.0	25.752
16.833	1	70.8	10.0	1012936979	0.42	0.0	33.109
22.733	1	70.8	10.0	1012936979	0.42	0.0	36.788
27.939	1	70.8	10.0	1012936979	0.42	0.0	40.467
31.931	1	70.8	10.0	1012936979	0.42	0.0	47.824
36.79	1	70.8	10.0	1012936979	0.42	0.0	55.182
42.863	1	70.8	10.0	1012936979	0.42	0.0	58.861
46.855	1	70.8	10.0	1012936979	0.42	0.0	62.539
50.846	1	70.8	10.0	1012936979	0.42	0.0	66.218
55.879	1	70.8	10.0	1012936979	0.42	0.0	66.218
59.87	1	70.8	10.0	1012936979	0.42	0.0	66.218
64.902	1	70.8	10.0	1012936979	0.42	0.0	66.218
69.935	1	70.8	10.0	1012936979	0.42	0.0	66.218
0.211	1	21.4	10.0	-593140135	226.0	0.0	10.092
0.986	1	21.4	10.0	-593140135	226.0	0.0	15.138
2.042	1	21.4	10.0	-593140135	226.0	0.0	20.183
6.972	1	21.4	10.0	-593140135	226.0	0.0	29.358
14.085	1	21.4	10.0	-593140135	226.0	0.0	46.789
0.0	1	27.3	10.0	1012936979	0.67	0.0	0.0
0.347	1	27.3	10.0	1012936979	0.67	0.0	22.046
1.041	1	27.3	10.0	1012936979	0.67	0.0	41.216
3.991	1	27.3	10.0	1012936979	0.67	0.0	57.031
6.941	1	27.3	10.0	1012936979	0.67	0.0	63.741
11.974	1	27.3	10.0	1012936979	0.67	0.0	68.533
17.007	1	27.3	10.0	1012936979	0.67	0.0	77.639
23.08	1	27.3	10.0	1012936979	0.67	0.0	80.994
28.113	1	27.3	10.0	1012936979	0.67	0.0	86.745
31.931	1	27.3	10.0	1012936979	0.67	0.0	89.621
36.963	1	27.3	10.0	1012936979	0.67	0.0	92.017
42.863	1	27.3	10.0	1012936979	0.67	0.0	93.455
47.028	1	27.3	10.0	1012936979	0.67	0.0	98.247
50.846	1	27.3	10.0	1012936979	0.67	0.0	100.164
56.052	1	27.3	10.0	1012936979	0.67	0.0	100.164
60.043	1	27.3	10.0	1012936979	0.67	0.0	100.644
65.076	1	27.3	10.0	1012936979	0.67	0.0	100.644
69.935	1	27.3	10.0	1012936979	0.67	0.0	100.164
0.0	1	39.0	8.0	61404185	64.0	0.0	0.0
1.097	1	39.0	8.0	61404185	64.0	0.0	18.174
2.118	1	39.0	8.0	61404185	64.0	0.0	28.926
4.14	1	39.0	8.0	61404185	64.0	0.0	32.098
6.024	1	39.0	8.0	61404185	64.0	0.0	33.149
7.975	1	39.0	8.0	61404185	64.0	0.0	33.442
10.062	1	39.0	8.0	61404185	64.0	0.0	34.492
13.963	1	39.0	8.0	61404185	64.0	0.0	34.927
17.936	1	39.0	8.0	61404185	64.0	0.0	38.695
21.977	1	39.0	8.0	61404185	64.0	0.0	42.917
25.951	1	39.0	8.0	61404185	64.0	0.0	47.745
29.994	1	39.0	8.0	61404185	64.0	0.0	53.937
0.0	1	18.0	5.0	224033430	6.75	0.04	0.0
0.817	1	18.0	5.0	224033430	6.75	0.04	66.379
3.065	1	18.0	5.0	224033430	6.75	0.04	66.81
6.063	1	18.0	5.0	224033430	6.75	0.04	67.241
9.06	1	18.0	5.0	224033430	6.75	0.04	78.448
11.921	1	18.0	5.0	224033430	6.75	0.04	93.534
14.986	1	18.0	5.0	224033430	6.75	0.04	98.707
17.984	1	18.0	5.0	224033430	6.75	0.04	100.0
24.932	1	18.0	5.0	224033430	6.75	0.04	100.0
1.023	1	65.86	20.0	-429981997	44.0	0.0	4.261
8.005	1	65.86	20.0	-429981997	44.0	0.0	7.487
15.075	1	65.86	20.0	-429981997	44.0	0.0	9.357
22.052	1	65.86	20.0	-429981997	44.0	0.0	10.779
29.033	1	65.86	20.0	-429981997	44.0	0.0	13.554
