Time_Days	Prod_method	Encaps_rate	PLGA_conc	Hyper_wiener_index	Mean_part_size	diss_add_conc	Q_perc
0.0	2	86.76	6.0	-429981997	24.5	0.0	0.0
0.017	2	86.76	6.0	-429981997	24.5	0.0	45.185
0.252	2	86.76	6.0	-429981997	24.5	0.0	68.889
1.0	2	86.76	6.0	-429981997	24.5	0.0	78.519
2.008	2	86.76	6.0	-429981997	24.5	0.0	95.556
3.0	2	86.76	6.0	-429981997	24.5	0.0	96.667
5.024	2	86.76	6.0	-429981997	24.5	0.0	97.385
6.012	2	86.76	6.0	-429981997	24.5	0.0	98.769
7.03	2	86.76	6.0	-429981997	24.5	0.0	99.231
8.017	2	86.76	6.0	-429981997	24.5	0.0	99.692
9.993	2	86.76	6.0	-429981997	24.5	0.0	99.692
11.01	2	86.76	6.0	-429981997	24.5	0.0	99.692
12.027	2	86.76	6.0	-429981997	24.5	0.0	99.692
13.015	2	86.76	6.0	-429981997	24.5	0.0	99.692
14.032	2	86.76	6.0	-429981997	24.5	0.0	99.692
18.958	2	86.76	6.0	-429981997	24.5	0.0	100.0
23.958	2	86.76	6.0	-429981997	24.5	0.0	100.0
26.979	2	86.76	6.0	-429981997	24.5	0.0	100.0
0.051	1	59.0	20.0	61404185	26.2	0.07	28.511
0.256	1	59.0	20.0	61404185	26.2	0.07	45.106
1.0	1	59.0	20.0	61404185	26.2	0.07	78.298
3.974	1	59.0	20.0	61404185	26.2	0.07	89.787
6.974	1	59.0	20.0	61404185	26.2	0.07	85.957
0.0	4	23.0	2.236	-429981997	1.3	0.0	0.0
0.979	4	23.0	2.236	-429981997	1.3	0.0	17.407
1.972	4	23.0	2.236	-429981997	1.3	0.0	21.481
3.959	4	23.0	2.236	-429981997	1.3	0.0	27.778
5.946	4	23.0	2.236	-429981997	1.3	0.0	34.074
7.93	4	23.0	2.236	-429981997	1.3	0.0	43.704
9.911	4	23.0	2.236	-429981997	1.3	0.0	55.556
12.001	4	23.0	2.236	-429981997	1.3	0.0	58.889
15.975	4	23.0	2.236	-429981997	1.3	0.0	71.481
19.956	4	23.0	2.236	-429981997	1.3	0.0	77.037
25.929	4	23.0	2.236	-429981997	1.3	0.0	84.815
29.91	4	23.0	2.236	-429981997	1.3	0.0	90.0
1.056	1	79.15	20.0	-70193260	20.0	0.0	10.135
8.132	1	79.15	20.0	-70193260	20.0	0.0	12.735
15.018	1	79.15	20.0	-70193260	20.0	0.0	13.985
21.994	1	79.15	20.0	-70193260	20.0	0.0	14.782
28.981	1	79.15	20.0	-70193260	20.0	0.0	17.835
0.0	3	88.0	0.833	140759740	0.336	0.0	0.0
1.194	3	88.0	0.833	140759740	0.336	0.0	21.639
2.389	3	88.0	0.833	140759740	0.336	0.0	25.902
3.528	3	88.0	0.833	140759740	0.336	0.0	29.18
4.722	3	88.0	0.833	140759740	0.336	0.0	35.082
5.917	3	88.0	0.833	140759740	0.336	0.0	41.639
7.083	3	88.0	0.833	140759740	0.336	0.0	49.18
8.25	3	88.0	0.833	140759740	0.336	0.0	50.164
9.444	3	88.0	0.833	140759740	0.336	0.0	51.475
0.0	4	47.0	0.602	-429981997	23.8	0.0	0.0
0.94	4	47.0	0.602	-429981997	23.8	0.0	56.667
1.936	4	47.0	0.602	-429981997	23.8	0.0	57.407
3.929	4	47.0	0.602	-429981997	23.8	0.0	57.407
6.022	4	47.0	0.602	-429981997	23.8	0.0	57.778
8.013	4	47.0	0.602	-429981997	23.8	0.0	60.37
10.004	4	47.0	0.602	-429981997	23.8	0.0	62.963
11.994	4	47.0	0.602	-429981997	23.8	0.0	65.556
13.886	4	47.0	0.602	-429981997	23.8	0.0	67.778
15.979	4	47.0	0.602	-429981997	23.8	0.0	68.148
20.063	4	47.0	0.602	-429981997	23.8	0.0	69.63
26.039	4	47.0	0.602	-429981997	23.8	0.0	74.074
29.923	4	47.0	0.602	-429981997	23.8	0.0	77.037
0.0	4	76.0	12.14	-429981997	90.86	0.0	0.0
0.812	4	76.0	12.14	-429981997	90.86	0.0	14.76
7.064	4	76.0	12.14	-429981997	90.86	0.0	37.333
14.3	4	76.0	12.14	-429981997	90.86	0.0	41.058
28.001	4	76.0	12.14	-429981997	90.86	0.0	50.555
46.315	4	76.0	12.14	-429981997	90.86	0.0	46.96
54.079	4	76.0	12.14	-429981997	90.86	0.0	55.606
63.201	4	76.0	12.14	-429981997	90.86	0.0	90.489
84.355	4	76.0	12.14	-429981997	90.86	0.0	87.729
0.282	1	15.2	10.0	-593140135	196.0	0.0	16.055
0.352	1	15.2	10.0	-593140135	196.0	0.0	34.862
1.127	1	15.2	10.0	-593140135	196.0	0.0	38.532
2.042	1	15.2	10.0	-593140135	196.0	0.0	56.881
7.042	1	15.2	10.0	-593140135	196.0	0.0	66.055
14.155	1	15.2	10.0	-593140135	196.0	0.0	82.569
