Time_Days	Prod_method	Encaps_rate	Hyper_wiener_index	Mean_part_size	pI	PVA_conc_inner_phase	PVA_Mw	PLGA_Mw	S_no	PLGA_visc	PLGA_to_Placticizer	pH_0_logd	Carboaromatic_ring_count	pH_14_logd	pH_4_logd	Ring_atom_count.2	Wiener_index	diss_add_conc	pH_9_logd	Dreiding_energy	Minimal_projection_radius.1	Inner_phase_volume	Q_perc
0.0	1	18.0	224033430	6.75	4.6	1.0	25000	10000	7	0.133	0.0	0.0	7	0.0	0.0	63	0	0.04	0.0	11461.34	0.0	2.0	0.0
0.8170000000000001	1	18.0	224033430	6.75	4.6	1.0	25000	10000	7	0.133	0.0	0.0	7	0.0	0.0	63	0	0.04	0.0	11461.34	0.0	2.0	66.37899999999999
3.065	1	18.0	224033430	6.75	4.6	1.0	25000	10000	7	0.133	0.0	0.0	7	0.0	0.0	63	0	0.04	0.0	11461.34	0.0	2.0	66.81
6.063	1	18.0	224033430	6.75	4.6	1.0	25000	10000	7	0.133	0.0	0.0	7	0.0	0.0	63	0	0.04	0.0	11461.34	0.0	2.0	67.241
9.06	1	18.0	224033430	6.75	4.6	1.0	25000	10000	7	0.133	0.0	0.0	7	0.0	0.0	63	0	0.04	0.0	11461.34	0.0	2.0	78.44800000000001
11.921	1	18.0	224033430	6.75	4.6	1.0	25000	10000	7	0.133	0.0	0.0	7	0.0	0.0	63	0	0.04	0.0	11461.34	0.0	2.0	93.53399999999999
14.985999999999999	1	18.0	224033430	6.75	4.6	1.0	25000	10000	7	0.133	0.0	0.0	7	0.0	0.0	63	0	0.04	0.0	11461.34	0.0	2.0	98.70700000000001
17.984	1	18.0	224033430	6.75	4.6	1.0	25000	10000	7	0.133	0.0	0.0	7	0.0	0.0	63	0	0.04	0.0	11461.34	0.0	2.0	100.0
24.932	1	18.0	224033430	6.75	4.6	1.0	25000	10000	7	0.133	0.0	0.0	7	0.0	0.0	63	0	0.04	0.0	11461.34	0.0	2.0	100.0
1.023	1	65.86	-429981997	44.0	5.3	1.0	50000	34000	39	0.4	100.0	18.14	49	18.08	18.14	525	2213852	0.0	18.14	1166699.675	24.42	1.0	4.261
8.005	1	65.86	-429981997	44.0	5.3	1.0	50000	34000	39	0.4	100.0	18.14	49	18.08	18.14	525	2213852	0.0	18.14	1166699.675	24.42	1.0	7.487
15.075	1	65.86	-429981997	44.0	5.3	1.0	50000	34000	39	0.4	100.0	18.14	49	18.08	18.14	525	2213852	0.0	18.14	1166699.675	24.42	1.0	9.357000000000001
22.052	1	65.86	-429981997	44.0	5.3	1.0	50000	34000	39	0.4	100.0	18.14	49	18.08	18.14	525	2213852	0.0	18.14	1166699.675	24.42	1.0	10.779000000000002
29.033	1	65.86	-429981997	44.0	5.3	1.0	50000	34000	39	0.4	100.0	18.14	49	18.08	18.14	525	2213852	0.0	18.14	1166699.675	24.42	1.0	13.554
0.0	4	83.0	-429981997	83.53	5.3	0.0	31000	46000	39	0.525	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	3.5	0.0
1.088	4	83.0	-429981997	83.53	5.3	0.0	31000	46000	39	0.525	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	3.5	21.074
7.066	4	83.0	-429981997	83.53	5.3	0.0	31000	46000	39	0.525	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	3.5	37.603
14.030999999999999	4	83.0	-429981997	83.53	5.3	0.0	31000	46000	39	0.525	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	3.5	36.777
28.234	4	83.0	-429981997	83.53	5.3	0.0	31000	46000	39	0.525	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	3.5	40.083
46.028	4	83.0	-429981997	83.53	5.3	0.0	31000	46000	39	0.525	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	3.5	35.537
54.292	4	83.0	-429981997	83.53	5.3	0.0	31000	46000	39	0.525	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	3.5	37.603
63.132	4	83.0	-429981997	83.53	5.3	0.0	31000	46000	39	0.525	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	3.5	63.223
84.323	4	83.0	-429981997	83.53	5.3	0.0	31000	46000	39	0.525	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	3.5	74.793
0.868	1	70.8	1012936979	0.42	4.54	1.0	30000	46000	22	0.525	0.0	0.0	33	0.0	0.0	312	0	0.0	0.0	16318.4	0.0	2.0	18.394000000000002
3.818	1	70.8	1012936979	0.42	4.54	1.0	30000	46000	22	0.525	0.0	0.0	33	0.0	0.0	312	0	0.0	0.0	16318.4	0.0	2.0	18.394000000000002
6.941	1	70.8	1012936979	0.42	4.54	1.0	30000	46000	22	0.525	0.0	0.0	33	0.0	0.0	312	0	0.0	0.0	16318.4	0.0	2.0	22.073
11.8	1	70.8	1012936979	0.42	4.54	1.0	30000	46000	22	0.525	0.0	0.0	33	0.0	0.0	312	0	0.0	0.0	16318.4	0.0	2.0	25.752
16.833	1	70.8	1012936979	0.42	4.54	1.0	30000	46000	22	0.525	0.0	0.0	33	0.0	0.0	312	0	0.0	0.0	16318.4	0.0	2.0	33.109
22.733	1	70.8	1012936979	0.42	4.54	1.0	30000	46000	22	0.525	0.0	0.0	33	0.0	0.0	312	0	0.0	0.0	16318.4	0.0	2.0	36.788000000000004
27.939	1	70.8	1012936979	0.42	4.54	1.0	30000	46000	22	0.525	0.0	0.0	33	0.0	0.0	312	0	0.0	0.0	16318.4	0.0	2.0	40.467
31.930999999999997	1	70.8	1012936979	0.42	4.54	1.0	30000	46000	22	0.525	0.0	0.0	33	0.0	0.0	312	0	0.0	0.0	16318.4	0.0	2.0	47.824
36.79	1	70.8	1012936979	0.42	4.54	1.0	30000	46000	22	0.525	0.0	0.0	33	0.0	0.0	312	0	0.0	0.0	16318.4	0.0	2.0	55.181999999999995
42.863	1	70.8	1012936979	0.42	4.54	1.0	30000	46000	22	0.525	0.0	0.0	33	0.0	0.0	312	0	0.0	0.0	16318.4	0.0	2.0	58.861000000000004
46.855	1	70.8	1012936979	0.42	4.54	1.0	30000	46000	22	0.525	0.0	0.0	33	0.0	0.0	312	0	0.0	0.0	16318.4	0.0	2.0	62.538999999999994
50.846000000000004	1	70.8	1012936979	0.42	4.54	1.0	30000	46000	22	0.525	0.0	0.0	33	0.0	0.0	312	0	0.0	0.0	16318.4	0.0	2.0	66.218
55.879	1	70.8	1012936979	0.42	4.54	1.0	30000	46000	22	0.525	0.0	0.0	33	0.0	0.0	312	0	0.0	0.0	16318.4	0.0	2.0	66.218
59.87	1	70.8	1012936979	0.42	4.54	1.0	30000	46000	22	0.525	0.0	0.0	33	0.0	0.0	312	0	0.0	0.0	16318.4	0.0	2.0	66.218
64.902	1	70.8	1012936979	0.42	4.54	1.0	30000	46000	22	0.525	0.0	0.0	33	0.0	0.0	312	0	0.0	0.0	16318.4	0.0	2.0	66.218
69.935	1	70.8	1012936979	0.42	4.54	1.0	30000	46000	22	0.525	0.0	0.0	33	0.0	0.0	312	0	0.0	0.0	16318.4	0.0	2.0	66.218
0.0	1	27.3	1012936979	0.67	4.54	1.0	30000	46000	22	0.525	0.0	0.0	33	0.0	0.0	312	0	0.0	0.0	16318.4	0.0	2.0	0.0
0.34700000000000003	1	27.3	1012936979	0.67	4.54	1.0	30000	46000	22	0.525	0.0	0.0	33	0.0	0.0	312	0	0.0	0.0	16318.4	0.0	2.0	22.046
1.041	1	27.3	1012936979	0.67	4.54	1.0	30000	46000	22	0.525	0.0	0.0	33	0.0	0.0	312	0	0.0	0.0	16318.4	0.0	2.0	41.216
