Time_Days	Prod_method	Encaps_rate	PLGA_conc	Hyper_wiener_index	Mean_part_size	diss_add_conc	Q_perc
0.98	1	74.94	20.0	-429981997	18.0	0.0	13.57
7.982	1	74.94	20.0	-429981997	18.0	0.0	20.03
15.077	1	74.94	20.0	-429981997	18.0	0.0	26.716
21.971	1	74.94	20.0	-429981997	18.0	0.0	29.782
28.985	1	74.94	20.0	-429981997	18.0	0.0	38.732
1.05	1	68.24	20.0	-429981997	20.0	0.0	8.814
7.962	1	68.24	20.0	-429981997	20.0	0.0	15.729
15.062	1	68.24	20.0	-429981997	20.0	0.0	23.546
21.958	1	68.24	20.0	-429981997	20.0	0.0	26.838
28.985	1	68.24	20.0	-429981997	20.0	0.0	38.732
0.0	3	100.0	2.0	63697313	5.0	0.0	0.0
1.082	3	100.0	2.0	63697313	5.0	0.0	5.342
1.98	3	100.0	2.0	63697313	5.0	0.0	6.986
3.963	3	100.0	2.0	63697313	5.0	0.0	16.027
5.95	3	100.0	2.0	63697313	5.0	0.0	28.356
7.747	3	100.0	2.0	63697313	5.0	0.0	32.877
9.907	3	100.0	2.0	63697313	5.0	0.0	40.274
13.875	3	100.0	2.0	63697313	5.0	0.0	60.411
18.181	3	100.0	2.0	63697313	5.0	0.0	66.164
22.125	3	100.0	2.0	63697313	5.0	0.0	70.274
26.255	3	100.0	2.0	63697313	5.0	0.0	78.082
30.198	3	100.0	2.0	63697313	5.0	0.0	81.37
34.143	3	100.0	2.0	63697313	5.0	0.0	85.479
38.265	3	100.0	2.0	63697313	5.0	0.0	88.767
42.216	3	100.0	2.0	63697313	5.0	0.0	96.575
46.161	3	100.0	2.0	63697313	5.0	0.0	100.0
50.279	3	100.0	2.0	63697313	5.0	0.0	100.0
58.157	3	100.0	2.0	63697313	5.0	0.0	100.0
0.0	1	94.6	0.833	140759740	0.395	0.0	0.0
1.194	1	94.6	0.833	140759740	0.395	0.0	25.246
2.361	1	94.6	0.833	140759740	0.395	0.0	27.541
3.556	1	94.6	0.833	140759740	0.395	0.0	27.869
4.722	1	94.6	0.833	140759740	0.395	0.0	32.131
5.917	1	94.6	0.833	140759740	0.395	0.0	36.393
7.083	1	94.6	0.833	140759740	0.395	0.0	38.689
8.278	1	94.6	0.833	140759740	0.395	0.0	39.672
9.444	1	94.6	0.833	140759740	0.395	0.0	40.656
0.0	1	45.14	13.33	-429981997	55.93	0.0	0.0
1.129	1	45.14	13.33	-429981997	55.93	0.0	4.755
2.097	1	45.14	13.33	-429981997	55.93	0.0	6.152
8.226	1	45.14	13.33	-429981997	55.93	0.0	7.247
14.839	1	45.14	13.33	-429981997	55.93	0.0	8.621
22.903	1	45.14	13.33	-429981997	55.93	0.0	11.388
30.0	1	45.14	13.33	-429981997	55.93	0.0	14.16
36.935	1	45.14	13.33	-429981997	55.93	0.0	16.652
45.806	1	45.14	13.33	-429981997	55.93	0.0	23.897
48.871	1	45.14	13.33	-429981997	55.93	0.0	28.085
57.903	1	45.14	13.33	-429981997	55.93	0.0	34.208
65.0	1	45.14	13.33	-429981997	55.93	0.0	36.7
0.0	4	76.0	12.14	-429981997	108.24	0.0	0.0
1.053	4	76.0	12.14	-429981997	108.24	0.0	8.203
6.791	4	76.0	12.14	-429981997	108.24	0.0	31.593
14.028	4	76.0	12.14	-429981997	108.24	0.0	35.729
28.227	4	76.0	12.14	-429981997	108.24	0.0	37.851
46.026	4	76.0	12.14	-429981997	108.24	0.0	35.073
54.297	4	76.0	12.14	-429981997	108.24	0.0	40.034
63.175	4	76.0	12.14	-429981997	108.24	0.0	80.243
84.332	4	76.0	12.14	-429981997	108.24	0.0	78.712
0.0	3	90.5	2.0	63697313	5.0	0.0	0.0
1.807	3	90.5	2.0	63697313	5.0	0.0	11.096
3.966	3	90.5	2.0	63697313	5.0	0.0	18.082
5.938	3	90.5	2.0	63697313	5.0	0.0	20.137
7.916	3	90.5	2.0	63697313	5.0	0.0	26.301
10.072	3	90.5	2.0	63697313	5.0	0.0	30.822
14.026	3	90.5	2.0	63697313	5.0	0.0	41.507
17.792	3	90.5	2.0	63697313	5.0	0.0	46.027
22.287	3	90.5	2.0	63697313	5.0	0.0	58.767
26.42	3	90.5	2.0	63697313	5.0	0.0	68.63
30.194	3	90.5	2.0	63697313	5.0	0.0	78.493
33.961	3	90.5	2.0	63697313	5.0	0.0	83.425
42.032	3	90.5	2.0	63697313	5.0	0.0	93.288
46.338	3	90.5	2.0	63697313	5.0	0.0	99.452
50.097	3	90.5	2.0	63697313	5.0	0.0	99.452
58.153	3	90.5	2.0	63697313	5.0	0.0	99.452
