Time_Days	Prod_method	Encaps_rate	Hyper_wiener_index	Mean_part_size	pI	PVA_conc_inner_phase	PVA_Mw	PLGA_Mw	S_no	PLGA_visc	PLGA_to_Placticizer	pH_0_logd	Carboaromatic_ring_count	pH_14_logd	pH_4_logd	Ring_atom_count.2	Wiener_index	diss_add_conc	pH_9_logd	Dreiding_energy	Minimal_projection_radius.1	Inner_phase_volume	Q_perc
45.806000000000004	1	38.82	-429981997	53.62	5.3	0.0	5000	46000	39	0.63	1.0	-2.2	49	-2.26	-2.2	525	50116	0.0	-2.2	1166699.675	10.61	3.0	48.901
49.032	1	38.82	-429981997	53.62	5.3	0.0	5000	46000	39	0.63	1.0	-2.2	49	-2.26	-2.2	525	50116	0.0	-2.2	1166699.675	10.61	3.0	51.956
57.903	1	38.82	-429981997	53.62	5.3	0.0	5000	46000	39	0.63	1.0	-2.2	49	-2.26	-2.2	525	50116	0.0	-2.2	1166699.675	10.61	3.0	58.614
65.0	1	38.82	-429981997	53.62	5.3	0.0	5000	46000	39	0.63	1.0	-2.2	49	-2.26	-2.2	525	50116	0.0	-2.2	1166699.675	10.61	3.0	59.98
0.0	1	46.91	-429981997	58.22	5.3	0.0	5000	46000	39	0.63	10.0	10.92	49	10.92	10.92	525	7096	0.0	10.92	1166699.675	11.22	3.0	0.0
0.835	1	46.91	-429981997	58.22	5.3	0.0	5000	46000	39	0.63	10.0	10.92	49	10.92	10.92	525	7096	0.0	10.92	1166699.675	11.22	3.0	6.843999999999999
2.005	1	46.91	-429981997	58.22	5.3	0.0	5000	46000	39	0.63	10.0	10.92	49	10.92	10.92	525	7096	0.0	10.92	1166699.675	11.22	3.0	10.782
9.021	1	46.91	-429981997	58.22	5.3	0.0	5000	46000	39	0.63	10.0	10.92	49	10.92	10.92	525	7096	0.0	10.92	1166699.675	11.22	3.0	12.629000000000001
16.038	1	46.91	-429981997	58.22	5.3	0.0	5000	46000	39	0.63	10.0	10.92	49	10.92	10.92	525	7096	0.0	10.92	1166699.675	11.22	3.0	13.23
23.89	1	46.91	-429981997	58.22	5.3	0.0	5000	46000	39	0.63	10.0	10.92	49	10.92	10.92	525	7096	0.0	10.92	1166699.675	11.22	3.0	15.074000000000002
29.905	1	46.91	-429981997	58.22	5.3	0.0	5000	46000	39	0.63	10.0	10.92	49	10.92	10.92	525	7096	0.0	10.92	1166699.675	11.22	3.0	16.715999999999998
36.754	1	46.91	-429981997	58.22	5.3	0.0	5000	46000	39	0.63	10.0	10.92	49	10.92	10.92	525	7096	0.0	10.92	1166699.675	11.22	3.0	17.941
44.773	1	46.91	-429981997	58.22	5.3	0.0	5000	46000	39	0.63	10.0	10.92	49	10.92	10.92	525	7096	0.0	10.92	1166699.675	11.22	3.0	20.199
