Time_Days	Prod_method	Encaps_rate	PLGA_conc	Hyper_wiener_index	Mean_part_size	diss_add_conc	Q_perc
0.962718813	3	100.0	4.0	-429981997	30.0	0.0	59.603
3.9880737471	3	100.0	4.0	-429981997	30.0	0.0	60.678
7.0152921583	3	100.0	4.0	-429981997	30.0	0.0	64.772
9.053237209	3	100.0	4.0	-429981997	30.0	0.0	66.243
12.0184950094	3	100.0	4.0	-429981997	30.0	0.0	69.961
16.0312598269	3	100.0	4.0	-429981997	30.0	0.0	70.64
18.0694378123	3	100.0	4.0	-429981997	30.0	0.0	72.488
0.0	2	90.16	10.0	-429981997	24.5	0.0	0.0
0.025	2	90.16	10.0	-429981997	24.5	0.0	41.481
0.261	2	90.16	10.0	-429981997	24.5	0.0	64.444
1.0	2	90.16	10.0	-429981997	24.5	0.0	77.037
2.008	2	90.16	10.0	-429981997	24.5	0.0	94.444
3.0	2	90.16	10.0	-429981997	24.5	0.0	96.667
5.024	2	90.16	10.0	-429981997	24.5	0.0	97.385
6.012	2	90.16	10.0	-429981997	24.5	0.0	98.769
7.03	2	90.16	10.0	-429981997	24.5	0.0	99.231
8.017	2	90.16	10.0	-429981997	24.5	0.0	99.692
9.993	2	90.16	10.0	-429981997	24.5	0.0	99.692
11.01	2	90.16	10.0	-429981997	24.5	0.0	99.692
12.027	2	90.16	10.0	-429981997	24.5	0.0	99.692
13.015	2	90.16	10.0	-429981997	24.5	0.0	99.692
14.032	2	90.16	10.0	-429981997	24.5	0.0	99.692
18.958	2	90.16	10.0	-429981997	24.5	0.0	100.0
23.958	2	90.16	10.0	-429981997	24.5	0.0	100.0
26.979	2	90.16	10.0	-429981997	24.5	0.0	100.0
1.017	1	91.09	20.0	-429981997	46.0	0.0	2.456
8.089	1	91.09	20.0	-429981997	46.0	0.0	5.003
14.974	1	91.09	20.0	-429981997	46.0	0.0	6.427
21.951	1	91.09	20.0	-429981997	46.0	0.0	7.849
28.934	1	91.09	20.0	-429981997	46.0	0.0	11.3
0.0	4	18.0	2.236	-429981997	3.8	0.0	0.0
0.977	4	18.0	2.236	-429981997	3.8	0.0	19.259
1.97	4	18.0	2.236	-429981997	3.8	0.0	23.704
3.856	4	18.0	2.236	-429981997	3.8	0.0	30.741
5.942	4	18.0	2.236	-429981997	3.8	0.0	38.148
7.928	4	18.0	2.236	-429981997	3.8	0.0	45.926
10.009	4	18.0	2.236	-429981997	3.8	0.0	57.778
11.999	4	18.0	2.236	-429981997	3.8	0.0	61.111
13.888	4	18.0	2.236	-429981997	3.8	0.0	65.926
15.876	4	18.0	2.236	-429981997	3.8	0.0	71.111
19.955	4	18.0	2.236	-429981997	3.8	0.0	78.148
25.927	4	18.0	2.236	-429981997	3.8	0.0	86.667
30.008	4	18.0	2.236	-429981997	3.8	0.0	92.222
0.0	4	87.0	12.14	-429981997	109.68	0.0	0.0
1.258	4	87.0	12.14	-429981997	109.68	0.0	87.243
7.195	4	87.0	12.14	-429981997	109.68	0.0	87.654
13.927	4	87.0	12.14	-429981997	109.68	0.0	96.296
28.112	4	87.0	12.14	-429981997	109.68	0.0	93.004
45.895	4	87.0	12.14	-429981997	109.68	0.0	83.951
54.162	4	87.0	12.14	-429981997	109.68	0.0	87.243
63.198	4	87.0	12.14	-429981997	109.68	0.0	88.889
84.081	4	87.0	12.14	-429981997	109.68	0.0	81.07
0.0	1	41.62	13.33	-429981997	52.73	0.0	0.0
1.129	1	41.62	13.33	-429981997	52.73	0.0	10.075
2.097	1	41.62	13.33	-429981997	52.73	0.0	11.472
8.065	1	41.62	13.33	-429981997	52.73	0.0	13.128
15.0	1	41.62	13.33	-429981997	52.73	0.0	16.18
23.065	1	41.62	13.33	-429981997	52.73	0.0	18.108
30.0	1	41.62	13.33	-429981997	52.73	0.0	19.76
36.774	1	41.62	13.33	-429981997	52.73	0.0	20.853
45.806	1	41.62	13.33	-429981997	52.73	0.0	23.617
48.871	1	41.62	13.33	-429981997	52.73	0.0	26.405
58.065	1	41.62	13.33	-429981997	52.73	0.0	35.888
65.0	1	41.62	13.33	-429981997	52.73	0.0	38.66
0.0	4	81.0	12.14	-429981997	89.01	0.0	0.0
0.811	4	81.0	12.14	-429981997	89.01	0.0	14.35
7.074	4	81.0	12.14	-429981997	89.01	0.0	41.021
14.044	4	81.0	12.14	-429981997	89.01	0.0	41.877
28.254	4	81.0	12.14	-429981997	89.01	0.0	48.507
46.318	4	81.0	12.14	-429981997	89.01	0.0	48.189
54.334	4	81.0	12.14	-429981997	89.01	0.0	54.378
63.195	4	81.0	12.14	-429981997	89.01	0.0	88.03
84.348	4	81.0	12.14	-429981997	89.01	0.0	84.86
